Name,Latitude,Longitude
Sultan Bazar,17.3913784,78.4783369
Tank Bund,17.4238798,78.4738215
Tarnaka,17.4283104,78.5386101
Tilak Nagar,28.6390693,77.0867741
Tolichowki,17.3990312,78.4153224
Trimulgherry,17.4751077,78.5091941
Vanasthalipuram,17.3286444,78.57530059999999
Vengal Rao Nagar,17.4425851,78.43908809999999
Vidyanagar,14.0258171,80.026944
Vijay Nagar Colony,17.3947265,78.451538
West Marredpally,17.4439784,78.51909959999999
Yakutpura,17.3595152,78.4851396
Yellareddyguda,17.4920492,78.56410199999999
Yousufguda,17.4327477,78.43016589999999
Yapral,17.5050108,78.5404095
